"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 06 21:08:49 GMT 2023","Mon Mar 06 21:08:49 GMT 2023","233","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:54 GMT 2023","Mon Mar 06 21:08:54 GMT 2023","334","","","","","","Clearing of searching criteria",""
"passed","Mon Mar 06 21:08:53 GMT 2023","Mon Mar 06 21:08:54 GMT 2023","287","","","","","","Clearing of searching criteria",""
"passed","Mon Mar 06 21:08:49 GMT 2023","Mon Mar 06 21:08:49 GMT 2023","153","","","","","","Correctness of the results",""
"passed","Mon Mar 06 21:08:52 GMT 2023","Mon Mar 06 21:08:53 GMT 2023","205","","","","","","Clearing of searching criteria",""
"passed","Mon Mar 06 21:08:50 GMT 2023","Mon Mar 06 21:08:50 GMT 2023","229","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:54 GMT 2023","Mon Mar 06 21:08:54 GMT 2023","222","","","","","","Clearing of searching criteria",""
"broken","Mon Mar 06 21:08:54 GMT 2023","Mon Mar 06 21:08:54 GMT 2023","59","","","","","","Sample of undefined steps",""
"passed","Mon Mar 06 21:08:52 GMT 2023","Mon Mar 06 21:08:52 GMT 2023","258","","","","","","Clearing of searching criteria",""
"passed","Mon Mar 06 21:08:48 GMT 2023","Mon Mar 06 21:08:49 GMT 2023","157","","","","","","Correctness of the results",""
"passed","Mon Mar 06 21:08:51 GMT 2023","Mon Mar 06 21:08:52 GMT 2023","210","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:50 GMT 2023","Mon Mar 06 21:08:50 GMT 2023","171","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:49 GMT 2023","Mon Mar 06 21:08:50 GMT 2023","224","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:53 GMT 2023","Mon Mar 06 21:08:53 GMT 2023","239","","","","","","Clearing of searching criteria",""
"passed","Mon Mar 06 21:08:51 GMT 2023","Mon Mar 06 21:08:51 GMT 2023","178","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:51 GMT 2023","Mon Mar 06 21:08:51 GMT 2023","234","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:50 GMT 2023","Mon Mar 06 21:08:51 GMT 2023","240","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:48 GMT 2023","Mon Mar 06 21:08:48 GMT 2023","173","","","","","","Correctness of the results",""
"passed","Mon Mar 06 21:08:53 GMT 2023","Mon Mar 06 21:08:53 GMT 2023","270","","","","","","Clearing of searching criteria",""
"passed","Mon Mar 06 21:08:52 GMT 2023","Mon Mar 06 21:08:52 GMT 2023","177","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:49 GMT 2023","Mon Mar 06 21:08:49 GMT 2023","172","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:50 GMT 2023","Mon Mar 06 21:08:50 GMT 2023","209","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:50 GMT 2023","Mon Mar 06 21:08:50 GMT 2023","172","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:53 GMT 2023","Mon Mar 06 21:08:53 GMT 2023","256","","","","","","Clearing of searching criteria",""
"passed","Mon Mar 06 21:08:51 GMT 2023","Mon Mar 06 21:08:51 GMT 2023","174","","","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 21:08:54 GMT 2023","Mon Mar 06 21:08:54 GMT 2023","246","","","","","","Clearing of searching criteria",""
"passed","Mon Mar 06 21:08:49 GMT 2023","Mon Mar 06 21:08:49 GMT 2023","166","","","","","","Correctness of the results",""
"passed","Mon Mar 06 21:08:48 GMT 2023","Mon Mar 06 21:08:48 GMT 2023","357","","","","","","Correctness of the results",""
"passed","Mon Mar 06 21:08:51 GMT 2023","Mon Mar 06 21:08:51 GMT 2023","221","","","","","","Correctness of the search summary and term",""
"failed","Mon Mar 06 21:08:52 GMT 2023","Mon Mar 06 21:08:52 GMT 2023","272","","","","","","Correctness of the search summary and term",""
